prompt,rejected,chosen
Am hard to get to know.,I do not agree with this statement.,I agree with this statement.
Bottle up my feelings.,I do not agree with this statement.,I agree with this statement.
Don't talk a lot.,I do not agree with this statement.,I agree with this statement.
Keep my thoughts to myself.,I do not agree with this statement.,I agree with this statement.
Reveal little about myself.,I do not agree with this statement.,I agree with this statement.
Am good at many things.,I do not agree with this statement.,I agree with this statement.
Can handle a lot of information.,I do not agree with this statement.,I agree with this statement.
Can manage many things at the same time.,I do not agree with this statement.,I agree with this statement.
Can perform a wide variety of tasks.,I do not agree with this statement.,I agree with this statement.
Can tackle anything.,I do not agree with this statement.,I agree with this statement.
Can work under pressure.,I do not agree with this statement.,I agree with this statement.
Like to solve complex problems.,I do not agree with this statement.,I agree with this statement.
Need things explained only once.,I do not agree with this statement.,I agree with this statement.
Can handle complex problems.,I do not agree with this statement.,I agree with this statement.
Complete tasks successfully.,I do not agree with this statement.,I agree with this statement.
Face problems directly.,I do not agree with this statement.,I agree with this statement.
Formulate ideas clearly.,I do not agree with this statement.,I agree with this statement.
Act according to my conscience.,I do not agree with this statement.,I agree with this statement.
Am able to cooperate with others.,I do not agree with this statement.,I agree with this statement.
Am polite to strangers.,I do not agree with this statement.,I agree with this statement.
Anticipate the needs of others.,I do not agree with this statement.,I agree with this statement.
Appreciate people who wait on me.,I do not agree with this statement.,I agree with this statement.
Like to be of service to others.,I do not agree with this statement.,I agree with this statement.
Return extra change when a cashier makes a mistake.,I do not agree with this statement.,I agree with this statement.
Take others' interests into account.,I do not agree with this statement.,I agree with this statement.
Try to forgive and forget.,I do not agree with this statement.,I agree with this statement.
Stay in touch with old acquaintances.,I do not agree with this statement.,I agree with this statement.
Think of others first.,I do not agree with this statement.,I agree with this statement.
Would never cheat on my taxes.,I do not agree with this statement.,I agree with this statement.
Would never take things that aren't mine.,I do not agree with this statement.,I agree with this statement.
Am deeply moved by others' misfortunes.,I do not agree with this statement.,I agree with this statement.
Am easily moved to tears.,I do not agree with this statement.,I agree with this statement.
Am upset by the misfortunes of strangers.,I do not agree with this statement.,I agree with this statement.
Suffer from others' sorrows.,I do not agree with this statement.,I agree with this statement.
Would be upset if I saw an injured animal.,I do not agree with this statement.,I agree with this statement.
Am strongly influenced by the good moods of others.,I do not agree with this statement.,I agree with this statement.
Feel other people's joy.,I do not agree with this statement.,I agree with this statement.
Find it hard to stay in a bad mood if the people around me are happy.,I do not agree with this statement.,I agree with this statement.
Get caught up in the excitement when others are celebrating.,I do not agree with this statement.,I agree with this statement.
Like to watch children open presents.,I do not agree with this statement.,I agree with this statement.
Usually end up laughing if the people around me are laughing.,I do not agree with this statement.,I agree with this statement.
Am convinced that my way is the best way.,I do not agree with this statement.,I agree with this statement.
Am inflexible when I think I'm right.,I do not agree with this statement.,I agree with this statement.
Am often accused of being narrow-minded.,I do not agree with this statement.,I agree with this statement.
Believe strongly that the world would be a much better place if I had my way.,I do not agree with this statement.,I agree with this statement.
Believe that most questions have one right answer.,I do not agree with this statement.,I agree with this statement.
Do not like reading or hearing opinions that go against my way of thinking.,I do not agree with this statement.,I agree with this statement.
Find it difficult to compromise in policy debates.,I do not agree with this statement.,I agree with this statement.
Find it difficult to consider as valid opinions that differ from my own.,I do not agree with this statement.,I agree with this statement.
Have been told that I am rigid and inflexible.,I do not agree with this statement.,I agree with this statement.
Have fixed opinions.,I do not agree with this statement.,I agree with this statement.
Avoid dangerous situations.,I do not agree with this statement.,I agree with this statement.
Would never go hang gliding or bungee jumping.,I do not agree with this statement.,I agree with this statement.
Would never make a high-risk investment.,I do not agree with this statement.,I agree with this statement.
Am willing to try anything once.,I do not agree with this statement.,I agree with this statement.
Do crazy things.,I do not agree with this statement.,I agree with this statement.
Enjoy being reckless.,I do not agree with this statement.,I agree with this statement.
Have persuaded others to do something really adventurous or crazy.,I do not agree with this statement.,I agree with this statement.
Like to act on a whim.,I do not agree with this statement.,I agree with this statement.
Like to behave spontaneously.,I do not agree with this statement.,I agree with this statement.
Prefer friends who are excitingly unpredictable.,I do not agree with this statement.,I agree with this statement.
Get a thrill out of doing things that might kill me.,I do not agree with this statement.,I agree with this statement.
Like to do frightening things.,I do not agree with this statement.,I agree with this statement.
Love dangerous situations.,I do not agree with this statement.,I agree with this statement.
Would do anything to get an adrenaline rush.,I do not agree with this statement.,I agree with this statement.
Act wild and crazy.,I do not agree with this statement.,I agree with this statement.
Am easily talked into doing silly things.,I do not agree with this statement.,I agree with this statement.
Am open to new experiences.,I do not agree with this statement.,I agree with this statement.
"Am unpredictable, people never know what I am going to say.",I do not agree with this statement.,I agree with this statement.
Am willing to take risks.,I do not agree with this statement.,I agree with this statement.
Do unexpected things.,I do not agree with this statement.,I agree with this statement.
Enjoy wild flights of fantasy.,I do not agree with this statement.,I agree with this statement.
Face danger confidently.,I do not agree with this statement.,I agree with this statement.
Might actually enjoy being caught in an earthquake or tornado.,I do not agree with this statement.,I agree with this statement.
Might enjoy a free fall from an airplane.,I do not agree with this statement.,I agree with this statement.
Might enjoy the thrill of being lost at sea.,I do not agree with this statement.,I agree with this statement.
Prefer fear to boredom.,I do not agree with this statement.,I agree with this statement.
Seek adventure.,I do not agree with this statement.,I agree with this statement.
Take risks.,I do not agree with this statement.,I agree with this statement.
Would be good at rescuing people from a burning building.,I do not agree with this statement.,I agree with this statement.
Would enjoy being out on a sailboat during a storm.,I do not agree with this statement.,I agree with this statement.
Would like to try bungee jumping.,I do not agree with this statement.,I agree with this statement.
Would love to explore strange places.,I do not agree with this statement.,I agree with this statement.
Do dangerous things.,I do not agree with this statement.,I agree with this statement.
Love excitement.,I do not agree with this statement.,I agree with this statement.
Willing to try anything once.,I do not agree with this statement.,I agree with this statement.
Know how to get around the rules.,I do not agree with this statement.,I agree with this statement.
Seek danger.,I do not agree with this statement.,I agree with this statement.
Could easily live without having sex.,I do not agree with this statement.,I agree with this statement.
Don't think much about sex.,I do not agree with this statement.,I agree with this statement.
Have little desire for sex or romance.,I do not agree with this statement.,I agree with this statement.
See little need for romance in my life.,I do not agree with this statement.,I agree with this statement.
Am inexplicably happy some of the time.,I do not agree with this statement.,I agree with this statement.
Am passionate about anything I'm involved in.,I do not agree with this statement.,I agree with this statement.
Am passionate about causes.,I do not agree with this statement.,I agree with this statement.
Enjoy examining myself and my life.,I do not agree with this statement.,I agree with this statement.
Express childlike joy.,I do not agree with this statement.,I agree with this statement.
Love flowers.,I do not agree with this statement.,I agree with this statement.
See beauty in things that others might not notice.,I do not agree with this statement.,I agree with this statement.
Have a mouth that gets me into trouble.,I do not agree with this statement.,I agree with this statement.
Have a reputation for asking inappropriate questions.,I do not agree with this statement.,I agree with this statement.
I am known for saying offensive things.,I do not agree with this statement.,I agree with this statement.
Insult people.,I do not agree with this statement.,I agree with this statement.
Ridicule people.,I do not agree with this statement.,I agree with this statement.
Say inappropriate things.,I do not agree with this statement.,I agree with this statement.
Shoot my mouth off.,I do not agree with this statement.,I agree with this statement.
Am preoccupied with myself.,I do not agree with this statement.,I agree with this statement.
Dwell on the past.,I do not agree with this statement.,I agree with this statement.
Feel crushed by setbacks.,I do not agree with this statement.,I agree with this statement.
Often express doubts.,I do not agree with this statement.,I agree with this statement.
Spend time thinking about past mistakes.,I do not agree with this statement.,I agree with this statement.
Withhold information from others.,I do not agree with this statement.,I agree with this statement.
Know how to enjoy myself.,I do not agree with this statement.,I agree with this statement.
Be a chemist,I do not agree with this statement.,I agree with this statement.
Be a mathematician,I do not agree with this statement.,I agree with this statement.
Be a physicist,I do not agree with this statement.,I agree with this statement.
Be a scientific reporter,I do not agree with this statement.,I agree with this statement.
Be a statistician,I do not agree with this statement.,I agree with this statement.
Carry out medical research,I do not agree with this statement.,I agree with this statement.
Design a laboratory experiment,I do not agree with this statement.,I agree with this statement.
Develop a computer program,I do not agree with this statement.,I agree with this statement.
Explain scientific concepts to others,I do not agree with this statement.,I agree with this statement.
Solve complex puzzles,I do not agree with this statement.,I agree with this statement.
Carry out my plans.,I do not agree with this statement.,I agree with this statement.
Complete tasks successfully.,I do not agree with this statement.,I agree with this statement.
Feel comfortable with myself.,I do not agree with this statement.,I agree with this statement.
Seldom feel blue.,I do not agree with this statement.,I agree with this statement.
Think highly of myself.,I do not agree with this statement.,I agree with this statement.
Rarely overindulge.,I do not agree with this statement.,I agree with this statement.
Enjoy my work.,I do not agree with this statement.,I agree with this statement.
Feel comfortable with myself.,I do not agree with this statement.,I agree with this statement.
Feel lucky most of the time.,I do not agree with this statement.,I agree with this statement.
Respect the opinions of others.,I do not agree with this statement.,I agree with this statement.
Take things as they come.,I do not agree with this statement.,I agree with this statement.
Am sure of my ground.,I do not agree with this statement.,I agree with this statement.
Know immediately what to do.,I do not agree with this statement.,I agree with this statement.
Think highly of myself.,I do not agree with this statement.,I agree with this statement.
Am afraid that I will do the wrong thing.,I do not agree with this statement.,I agree with this statement.
Am afraid to draw attention to myself.,I do not agree with this statement.,I agree with this statement.
Am easily intimidated.,I do not agree with this statement.,I agree with this statement.
Find it difficult to approach others.,I do not agree with this statement.,I agree with this statement.
Only feel comfortable with friends.,I do not agree with this statement.,I agree with this statement.
Stumble over my words.,I do not agree with this statement.,I agree with this statement.
Am not easily affected by my emotions.,I do not agree with this statement.,I agree with this statement.
Experience very few emotional highs and lows.,I do not agree with this statement.,I agree with this statement.
Never spend more than I can afford.,I do not agree with this statement.,I agree with this statement.
Am a highly disciplined person.,I do not agree with this statement.,I agree with this statement.
Can always say enough is enough.,I do not agree with this statement.,I agree with this statement.
Can stay on a diet.,I do not agree with this statement.,I agree with this statement.
Forego things that are bad for me in the long run even if they make me feel good in the short run.,I do not agree with this statement.,I agree with this statement.
Have no trouble eating healthy foods.,I do not agree with this statement.,I agree with this statement.
Always know why I do things.,I do not agree with this statement.,I agree with this statement.
Feel comfortable with myself.,I do not agree with this statement.,I agree with this statement.
Just know that I will be a success.,I do not agree with this statement.,I agree with this statement.
Know that my decisions are correct.,I do not agree with this statement.,I agree with this statement.
Like to take responsibility for making decisions.,I do not agree with this statement.,I agree with this statement.
Am exacting in my work.,I do not agree with this statement.,I agree with this statement.
Get chores done right away.,I do not agree with this statement.,I agree with this statement.
Get to work at once.,I do not agree with this statement.,I agree with this statement.
Go straight for the goal.,I do not agree with this statement.,I agree with this statement.
Like to organize things.,I do not agree with this statement.,I agree with this statement.
Am always prepared.,I do not agree with this statement.,I agree with this statement.
Do unpleasant tasks immediately.,I do not agree with this statement.,I agree with this statement.
Carry out my plans.,I do not agree with this statement.,I agree with this statement.
Start tasks right away.,I do not agree with this statement.,I agree with this statement.
Act wild and crazy.,I do not agree with this statement.,I agree with this statement.
Am open about myself to others.,I do not agree with this statement.,I agree with this statement.
Disclose my intimate thoughts.,I do not agree with this statement.,I agree with this statement.
Express childlike joy.,I do not agree with this statement.,I agree with this statement.
Joke around a lot.,I do not agree with this statement.,I agree with this statement.
Laugh my way through life.,I do not agree with this statement.,I agree with this statement.
Let myself go.,I do not agree with this statement.,I agree with this statement.
Like to amuse others.,I do not agree with this statement.,I agree with this statement.
Am open about my feelings.,I do not agree with this statement.,I agree with this statement.
Show my feelings.,I do not agree with this statement.,I agree with this statement.
Talk about my worries.,I do not agree with this statement.,I agree with this statement.
Am quick to understand things.,I do not agree with this statement.,I agree with this statement.
Can handle complex problems.,I do not agree with this statement.,I agree with this statement.
Formulate ideas clearly.,I do not agree with this statement.,I agree with this statement.
Have excellent ideas.,I do not agree with this statement.,I agree with this statement.
Think quickly.,I do not agree with this statement.,I agree with this statement.
Am sure of my ground.,I do not agree with this statement.,I agree with this statement.
Come up with good solutions.,I do not agree with this statement.,I agree with this statement.
Complete tasks successfully.,I do not agree with this statement.,I agree with this statement.
Excel in what I do.,I do not agree with this statement.,I agree with this statement.
Handle tasks smoothly.,I do not agree with this statement.,I agree with this statement.
Know how to get things done.,I do not agree with this statement.,I agree with this statement.
Am afraid of many things.,I do not agree with this statement.,I agree with this statement.
Am often down in the dumps.,I do not agree with this statement.,I agree with this statement.
Become overwhelmed by events.,I do not agree with this statement.,I agree with this statement.
Feel that I'm unable to deal with things.,I do not agree with this statement.,I agree with this statement.
Need reassurance.,I do not agree with this statement.,I agree with this statement.
Feel comfortable with myself.,I do not agree with this statement.,I agree with this statement.
Just know that I will be a success.,I do not agree with this statement.,I agree with this statement.
Know my strengths.,I do not agree with this statement.,I agree with this statement.
Like to take responsibility for making decisions.,I do not agree with this statement.,I agree with this statement.
Seldom feel blue.,I do not agree with this statement.,I agree with this statement.
Feel that cutting myself helps me feel better.,I do not agree with this statement.,I agree with this statement.
Frequently have thoughts about killing myself.,I do not agree with this statement.,I agree with this statement.
Have thoughts of injuring myself.,I do not agree with this statement.,I agree with this statement.
Have urges to cut myself.,I do not agree with this statement.,I agree with this statement.
Have written a suicide note.,I do not agree with this statement.,I agree with this statement.
I have intentionally done myself physical harm.,I do not agree with this statement.,I agree with this statement.
I have no will to live.,I do not agree with this statement.,I agree with this statement.
Am good at making impromptu speeches.,I do not agree with this statement.,I agree with this statement.
Am likely to show off if I get the chance.,I do not agree with this statement.,I agree with this statement.
Am the life of the party.,I do not agree with this statement.,I agree with this statement.
Like to attract attention.,I do not agree with this statement.,I agree with this statement.
Put on a show to impress people.,I do not agree with this statement.,I agree with this statement.
Use flattery to get ahead.,I do not agree with this statement.,I agree with this statement.
Would make a good actor.,I do not agree with this statement.,I agree with this statement.
Act without consulting others.,I do not agree with this statement.,I agree with this statement.
Believe that events in my life are determined only by me.,I do not agree with this statement.,I agree with this statement.
Do things men traditionally do.,I do not agree with this statement.,I agree with this statement.
Do things my own way.,I do not agree with this statement.,I agree with this statement.
Make decisions quickly.,I do not agree with this statement.,I agree with this statement.
Cry during movies.,I do not agree with this statement.,I agree with this statement.
Don't like action movies.,I do not agree with this statement.,I agree with this statement.
Enjoy discussing movies and books with others.,I do not agree with this statement.,I agree with this statement.
Like to read.,I do not agree with this statement.,I agree with this statement.
Love flowers.,I do not agree with this statement.,I agree with this statement.
Read a lot.,I do not agree with this statement.,I agree with this statement.
Am deeply moved by others' misfortunes.,I do not agree with this statement.,I agree with this statement.
Show my gratitude.,I do not agree with this statement.,I agree with this statement.
Value cooperation over competition.,I do not agree with this statement.,I agree with this statement.
Cry during movies.,I do not agree with this statement.,I agree with this statement.
Cry easily.,I do not agree with this statement.,I agree with this statement.
Dislike competing with others.,I do not agree with this statement.,I agree with this statement.
Don't like action movies.,I do not agree with this statement.,I agree with this statement.
Love flowers.,I do not agree with this statement.,I agree with this statement.
Remember my friends' birthdays.,I do not agree with this statement.,I agree with this statement.
Suffer from others' sorrows.,I do not agree with this statement.,I agree with this statement.
Sympathize with others' feelings.,I do not agree with this statement.,I agree with this statement.
Am deeply moved by others' misfortunes.,I do not agree with this statement.,I agree with this statement.
Am sensitive to the needs of others.,I do not agree with this statement.,I agree with this statement.
Feel others' emotions.,I do not agree with this statement.,I agree with this statement.
Immediately feel sad when hearing of an unhappy event.,I do not agree with this statement.,I agree with this statement.
Am easily moved to tears.,I do not agree with this statement.,I agree with this statement.
Have a soft heart.,I do not agree with this statement.,I agree with this statement.
Don't pretend to be more than I am.,I do not agree with this statement.,I agree with this statement.
Can't do without the company of others.,I do not agree with this statement.,I agree with this statement.
Enjoy being on the go.,I do not agree with this statement.,I agree with this statement.
Enjoy being part of a loud crowd.,I do not agree with this statement.,I agree with this statement.
Act comfortably with others.,I do not agree with this statement.,I agree with this statement.
Am skilled in handling social situations.,I do not agree with this statement.,I agree with this statement.
Feel comfortable around people.,I do not agree with this statement.,I agree with this statement.
Start conversations.,I do not agree with this statement.,I agree with this statement.
Talk to a lot of different people at parties.,I do not agree with this statement.,I agree with this statement.
Enjoy being part of a group.,I do not agree with this statement.,I agree with this statement.
Love to chat.,I do not agree with this statement.,I agree with this statement.
Make friends easily.,I do not agree with this statement.,I agree with this statement.
Usually like to spend my free time with people.,I do not agree with this statement.,I agree with this statement.
Amuse my friends.,I do not agree with this statement.,I agree with this statement.
Like to amuse others.,I do not agree with this statement.,I agree with this statement.
Like to attract attention.,I do not agree with this statement.,I agree with this statement.
Love action.,I do not agree with this statement.,I agree with this statement.
Love large parties.,I do not agree with this statement.,I agree with this statement.
Make myself the center of attention.,I do not agree with this statement.,I agree with this statement.
Seek adventure.,I do not agree with this statement.,I agree with this statement.
Am easily talked into doing silly things,I do not agree with this statement.,I agree with this statement.
Cheer loudly at sporting events.,I do not agree with this statement.,I agree with this statement.
Prefer going to movies to watching videos at home.,I do not agree with this statement.,I agree with this statement.
Am interested in people.,I do not agree with this statement.,I agree with this statement.
Enjoy bringing people together.,I do not agree with this statement.,I agree with this statement.
Love surprise parties.,I do not agree with this statement.,I agree with this statement.
Am good at making impromptu speeches.,I do not agree with this statement.,I agree with this statement.
Don't mind being the center of attention.,I do not agree with this statement.,I agree with this statement.
Feel comfortable around people.,I do not agree with this statement.,I agree with this statement.
Have a strong personality.,I do not agree with this statement.,I agree with this statement.
Have leadership abilities.,I do not agree with this statement.,I agree with this statement.
Do not feel close to people.,I do not agree with this statement.,I agree with this statement.
Find it difficult to approach others.,I do not agree with this statement.,I agree with this statement.
Keep to myself even when I'm around other people.,I do not agree with this statement.,I agree with this statement.
Rarely enjoy being with people.,I do not agree with this statement.,I agree with this statement.
Am not embarrassed easily.,I do not agree with this statement.,I agree with this statement.
Am skilled in handling social situations.,I do not agree with this statement.,I agree with this statement.
Express myself easily.,I do not agree with this statement.,I agree with this statement.
Am good at making impromptu speeches.,I do not agree with this statement.,I agree with this statement.
Don't mind being the center of attention.,I do not agree with this statement.,I agree with this statement.
Feel comfortable around people.,I do not agree with this statement.,I agree with this statement.
Have a natural talent for influencing people.,I do not agree with this statement.,I agree with this statement.
Am apprehensive about new encounters.,I do not agree with this statement.,I agree with this statement.
Am quiet around strangers.,I do not agree with this statement.,I agree with this statement.
Find it difficult to approach others.,I do not agree with this statement.,I agree with this statement.
Often feel uncomfortable around others.,I do not agree with this statement.,I agree with this statement.
Only feel comfortable with friends.,I do not agree with this statement.,I agree with this statement.
Am able to fit into any situation.,I do not agree with this statement.,I agree with this statement.
Am good at sensing what others are feeling.,I do not agree with this statement.,I agree with this statement.
Get along well with people I have just met.,I do not agree with this statement.,I agree with this statement.
Have the ability to make others feel interesting.,I do not agree with this statement.,I agree with this statement.
Know what makes others tick.,I do not agree with this statement.,I agree with this statement.
Know what to say to make people feel good.,I do not agree with this statement.,I agree with this statement.
Attended a church or religious service.,I do not agree with this statement.,I agree with this statement.
Discussed religion or spirituality.,I do not agree with this statement.,I agree with this statement.
Gave a blessing at a meal.,I do not agree with this statement.,I agree with this statement.
Listened to a religious program on the radio or TV.,I do not agree with this statement.,I agree with this statement.
Prayed (not including blessings at meals).,I do not agree with this statement.,I agree with this statement.
Read a book about religion or spirituality.,I do not agree with this statement.,I agree with this statement.
Read the Bible or other sacred text.,I do not agree with this statement.,I agree with this statement.
Am a spiritual person.,I do not agree with this statement.,I agree with this statement.
Am who I am because of my faith.,I do not agree with this statement.,I agree with this statement.
Believe in a universal power or God.,I do not agree with this statement.,I agree with this statement.
Believe that each person has a purpose in life.,I do not agree with this statement.,I agree with this statement.
Have spent at least 30 minutes in the last 24 hours in prayer or meditation.,I do not agree with this statement.,I agree with this statement.
Keep my faith even during hard times.,I do not agree with this statement.,I agree with this statement.
Know that my beliefs make my life important.,I do not agree with this statement.,I agree with this statement.
Am not easily bothered by things.,I do not agree with this statement.,I agree with this statement.
Am not easily frustrated.,I do not agree with this statement.,I agree with this statement.
Keep my cool.,I do not agree with this statement.,I agree with this statement.
Seldom get mad.,I do not agree with this statement.,I agree with this statement.
Seldom take offense.,I do not agree with this statement.,I agree with this statement.
Trust others.,I do not agree with this statement.,I agree with this statement.
Am not easily annoyed.,I do not agree with this statement.,I agree with this statement.
Am relaxed most of the time.,I do not agree with this statement.,I agree with this statement.
Rarely get irritated.,I do not agree with this statement.,I agree with this statement.
Am easily controlled by others in my life.,I do not agree with this statement.,I agree with this statement.
Let myself be directed by others.,I do not agree with this statement.,I agree with this statement.
Let myself be pushed around.,I do not agree with this statement.,I agree with this statement.
Let others take advantage of me.,I do not agree with this statement.,I agree with this statement.
Need others to help run my life,I do not agree with this statement.,I agree with this statement.
Prefer that others make the major decisions in my life.,I do not agree with this statement.,I agree with this statement.
Dislike being the center of attention,I do not agree with this statement.,I agree with this statement.
Let others finish what they are saying.,I do not agree with this statement.,I agree with this statement.
Seldom toot my own horn.,I do not agree with this statement.,I agree with this statement.
Speak softly.,I do not agree with this statement.,I agree with this statement.
Am concerned about others.,I do not agree with this statement.,I agree with this statement.
Am deeply moved by others' misfortunes.,I do not agree with this statement.,I agree with this statement.
Feel sympathy for those who are worse off than myself.,I do not agree with this statement.,I agree with this statement.
Like to do things for others.,I do not agree with this statement.,I agree with this statement.
Reassure others.,I do not agree with this statement.,I agree with this statement.
Take an interest in other people's lives.,I do not agree with this statement.,I agree with this statement.
Suffer from others' sorrows.,I do not agree with this statement.,I agree with this statement.
Sympathize with the homeless.,I do not agree with this statement.,I agree with this statement.
Value cooperation over competition.,I do not agree with this statement.,I agree with this statement.
Demand to be the center of interest.,I do not agree with this statement.,I agree with this statement.
Do most of the talking.,I do not agree with this statement.,I agree with this statement.
Like to attract attention.,I do not agree with this statement.,I agree with this statement.
Make a lot of noise.,I do not agree with this statement.,I agree with this statement.
Make myself the center of attention.,I do not agree with this statement.,I agree with this statement.
Never stop talking.,I do not agree with this statement.,I agree with this statement.
Speak loudly.,I do not agree with this statement.,I agree with this statement.
Talk too much.,I do not agree with this statement.,I agree with this statement.
Don't miss group meetings or team practices.,I do not agree with this statement.,I agree with this statement.
Enjoy being part of a group.,I do not agree with this statement.,I agree with this statement.
Feel I must respect the decisions made by my group.,I do not agree with this statement.,I agree with this statement.
Support my teammates or fellow group members.,I do not agree with this statement.,I agree with this statement.
Easily resist temptations.,I do not agree with this statement.,I agree with this statement.
Keep my promises.,I do not agree with this statement.,I agree with this statement.
Rarely overindulge.,I do not agree with this statement.,I agree with this statement.
Believe crying helps me feel better.,I do not agree with this statement.,I agree with this statement.
Cherish mementos.,I do not agree with this statement.,I agree with this statement.
Listen to my heart rather than my brain.,I do not agree with this statement.,I agree with this statement.
Love children's movies.,I do not agree with this statement.,I agree with this statement.
Remember my friends' birthdays.,I do not agree with this statement.,I agree with this statement.
Show my feelings.,I do not agree with this statement.,I agree with this statement.
Suffer from others' sorrows.,I do not agree with this statement.,I agree with this statement.
Want to mean something to others.,I do not agree with this statement.,I agree with this statement.
Want to please others.,I do not agree with this statement.,I agree with this statement.
Stick to the rules.,I do not agree with this statement.,I agree with this statement.
Would never go hang gliding or bungee jumping.,I do not agree with this statement.,I agree with this statement.
Acknowledge others' accomplishments.,I do not agree with this statement.,I agree with this statement.
Sympathize with the homeless.,I do not agree with this statement.,I agree with this statement.
Seldom stretch the truth,I do not agree with this statement.,I agree with this statement.
Take things as they come,I do not agree with this statement.,I agree with this statement.
Think of others first,I do not agree with this statement.,I agree with this statement.
Tolerate a lot from others.,I do not agree with this statement.,I agree with this statement.
Am open to change.,I do not agree with this statement.,I agree with this statement.
Believe in equality between all races.,I do not agree with this statement.,I agree with this statement.
Try to forgive and forget.,I do not agree with this statement.,I agree with this statement.
Understand people who think differently.,I do not agree with this statement.,I agree with this statement.
Accept people as they are.,I do not agree with this statement.,I agree with this statement.
Believe that others have good intentions.,I do not agree with this statement.,I agree with this statement.
Believe there are many sides to most issues.,I do not agree with this statement.,I agree with this statement.
Can accept a lot from others.,I do not agree with this statement.,I agree with this statement.
Respect others.,I do not agree with this statement.,I agree with this statement.
Am calm even in tense situations.,I do not agree with this statement.,I agree with this statement.
Can stand criticism.,I do not agree with this statement.,I agree with this statement.
Don't lose my head.,I do not agree with this statement.,I agree with this statement.
Know how to cope.,I do not agree with this statement.,I agree with this statement.
Am not embarrassed easily.,I do not agree with this statement.,I agree with this statement.
Automatically take charge.,I do not agree with this statement.,I agree with this statement.
Quickly recognize possibilities.,I do not agree with this statement.,I agree with this statement.
Remain calm under pressure.,I do not agree with this statement.,I agree with this statement.
Want to be in charge.,I do not agree with this statement.,I agree with this statement.
Am devoted to religion.,I do not agree with this statement.,I agree with this statement.
Believe in one true religion.,I do not agree with this statement.,I agree with this statement.
Believe in sexual modesty.,I do not agree with this statement.,I agree with this statement.
Believe that we should be tough on crime.,I do not agree with this statement.,I agree with this statement.
Guide my life using religious scriptures.,I do not agree with this statement.,I agree with this statement.
Like to stand during the national anthem.,I do not agree with this statement.,I agree with this statement.
Tend to vote for conservative political candidates.,I do not agree with this statement.,I agree with this statement.
Am always in the same mood.,I do not agree with this statement.,I agree with this statement.
Am not disturbed by events.,I do not agree with this statement.,I agree with this statement.
Am not easily stirred.,I do not agree with this statement.,I agree with this statement.
Am relaxed most of the time.,I do not agree with this statement.,I agree with this statement.
Experience very few emotional highs and lows.,I do not agree with this statement.,I agree with this statement.
Rarely notice my emotional reactions.,I do not agree with this statement.,I agree with this statement.
Tend to feel the same every day.,I do not agree with this statement.,I agree with this statement.
Believe in human goodness.,I do not agree with this statement.,I agree with this statement.
Trust others.,I do not agree with this statement.,I agree with this statement.
Trust what people say.,I do not agree with this statement.,I agree with this statement.
Believe that others have good intentions.,I do not agree with this statement.,I agree with this statement.
Believe that people are basically moral.,I do not agree with this statement.,I agree with this statement.
Think that all will be well.,I do not agree with this statement.,I agree with this statement.
Acknowledge others' accomplishments.,I do not agree with this statement.,I agree with this statement.
Am nice to store clerks.,I do not agree with this statement.,I agree with this statement.
Like to be of service to others.,I do not agree with this statement.,I agree with this statement.
Try to maintain a pleasant atmosphere.,I do not agree with this statement.,I agree with this statement.
Am considered to be kind of eccentric.,I do not agree with this statement.,I agree with this statement.
Do things that others find strange.,I do not agree with this statement.,I agree with this statement.
Know that my ideas sometimes surprise people.,I do not agree with this statement.,I agree with this statement.
Rebel against authority.,I do not agree with this statement.,I agree with this statement.
Swim against the current.,I do not agree with this statement.,I agree with this statement.
Appreciate the viewpoints of others.,I do not agree with this statement.,I agree with this statement.
Like to be of service to others.,I do not agree with this statement.,I agree with this statement.
Respect others' feelings.,I do not agree with this statement.,I agree with this statement.
Sympathize with others' feelings.,I do not agree with this statement.,I agree with this statement.
Take others' interests into account.,I do not agree with this statement.,I agree with this statement.
Always admit it when I make a mistake.,I do not agree with this statement.,I agree with this statement.
Always know what I am doing.,I do not agree with this statement.,I agree with this statement.
Always know why I do things.,I do not agree with this statement.,I agree with this statement.
Am always prepared.,I do not agree with this statement.,I agree with this statement.
Am always ready to start afresh.,I do not agree with this statement.,I agree with this statement.
Believe there is never an excuse for lying.,I do not agree with this statement.,I agree with this statement.
Have never engaged in gossip.,I do not agree with this statement.,I agree with this statement.
Know immediately what to do.,I do not agree with this statement.,I agree with this statement.
Know that anyone who tries can get a job.,I do not agree with this statement.,I agree with this statement.
Never give up hope.,I do not agree with this statement.,I agree with this statement.
Never give up.,I do not agree with this statement.,I agree with this statement.
Will do anything for others.,I do not agree with this statement.,I agree with this statement.
Am not concerned with making a good impression.,I do not agree with this statement.,I agree with this statement.
Don't care whether I'm considered special.,I do not agree with this statement.,I agree with this statement.
Feel at times that I have left my body and am somehow outside my physical self.,I do not agree with this statement.,I agree with this statement.
Have had the feeling that I might not be human.,I do not agree with this statement.,I agree with this statement.
Have had the feeling that I was someone else.,I do not agree with this statement.,I agree with this statement.
Hear voices talking about me when nobody is really there.,I do not agree with this statement.,I agree with this statement.
"I feel as if my body, or a part of it, has disappeared.",I do not agree with this statement.,I agree with this statement.
See strange figures or visions when nothing is really there.,I do not agree with this statement.,I agree with this statement.
Sometimes think the TV is talking directly to me.,I do not agree with this statement.,I agree with this statement.
Prefer variety to routine.,I do not agree with this statement.,I agree with this statement.
